time_s,total_packets,bytes_in_flight_avg,bytes_in_flight_max,throughput_bps,sack_count,window_size,retransmissions,dupacks,ooo_packets,zero_window_probes,mss_avg,data_bytes,goodput_bps,retrans_rate_pct,ooo_rate_pct,avg_window
75,4,2853.5,2853.5,12,1,0,0,0,0,4,1460,114,12,0,0,0
76,17,208628.2941,208628.2941,44.15584416,1,0,0,0,0,17,1460,425,44.15584416,0,0,0
77,26,1550.038462,1550.038462,1091.692308,0,0,0,0,0,26,1460,10644,1091.692308,0,0,0
78,27,702.0740741,702.0740741,331.6455696,1,0,0,0,0,27,1460,3275,331.6455696,0,0,0
79,10,349471.3,349471.3,28.4,1,0,0,0,0,10,1460,284,28.4,0,0,0
80,2,1665,1665,5.62962963,1,0,0,0,0,2,1460,57,5.62962963,0,0,0
81,16,37853.4375,37853.4375,35.90243902,1,0,0,0,0,16,1460,368,35.90243902,0,0,0
82,4,1030.75,1030.75,10.98795181,1,0,0,0,0,4,1460,114,10.98795181,0,0,0
84,4,19.25,19.25,11.67058824,1,0,0,0,0,4,1460,124,11.67058824,0,0,0
85,3,109.6666667,109.6666667,4.930232558,1,0,0,0,0,3,1460,53,4.930232558,0,0,0
86,63,9405.349206,9405.349206,3643.678161,1,0,0,0,0,63,1460,39625,3643.678161,0,0,0
87,16,63,63,159.6363636,1,0,0,0,0,16,1460,1756,159.6363636,0,0,0
88,10,481.1,481.1,17.97752809,1,0,0,0,0,10,1460,200,17.97752809,0,0,0
89,99,512.1717172,512.1717172,1657.688889,1,0,0,1,1,99,1460,18649,1657.688889,0,1.01010101,0
90,17,912.0588235,912.0588235,50.54945055,0,0,4,2,0,17,1460,575,50.54945055,23.52941176,0,0
91,4,17.75,17.75,14,0,0,0,0,0,4,1460,161,14,0,0,0
92,1,0,0,8.086021505,0,0,0,0,0,1,1460,94,8.086021505,0,0,0
93,10,4111.2,4111.2,31.4893617,0,0,0,0,0,10,1460,370,31.4893617,0,0,0
94,56,9771.071429,9771.071429,3250.357895,0,0,0,0,0,56,1460,38598,3250.357895,0,0,0
95,45,2523.466667,2523.466667,1134.25,1,0,1,1,0,45,1460,13611,1134.25,2.222222222,0,0
96,53,11117.30189,11117.30189,3323.298969,0,0,0,0,0,53,1460,40295,3323.298969,0,0,0
97,60,9820.283333,9820.283333,3323.183673,1,0,0,0,0,60,1460,40709,3323.183673,0,0,0
98,32,2040.03125,2040.03125,992.2424242,0,0,0,0,0,32,1460,12279,992.2424242,0,0,0
99,57,10340.64912,10340.64912,3237.84,0,0,0,0,0,57,1460,40473,3237.84,0,0,0
100,72,8472.916667,8472.916667,3448.633663,0,0,0,0,0,72,1460,43539,3448.633663,0,0,0
101,44,2199.159091,2199.159091,970.2745098,0,0,1,1,0,44,1460,12371,970.2745098,2.272727273,0,0
102,59,2095.864407,2095.864407,1904.466019,0,0,0,1,1,59,1460,24520,1904.466019,0,1.694915254,0
103,54,1969.888889,1969.888889,1479.615385,0,0,2,2,0,54,1460,19235,1479.615385,3.703703704,0,0
104,65,8685.615385,8685.615385,3421.180952,0,0,0,0,0,65,1460,44903,3421.180952,0,0,0
105,57,21629.36842,21629.36842,2430.113208,0,0,0,0,0,57,1460,32199,2430.113208,0,0,0
106,368,102751.5217,102751.5217,23376.4486,0,0,0,0,0,368,1460,312660,23376.4486,0,0,0
107,11,4428.818182,4428.818182,163.037037,1,0,0,0,0,11,1460,2201,163.037037,0,0,0
108,40,3964.375,3964.375,852.7706422,0,0,0,0,0,40,1460,11619,852.7706422,0,0,0
109,57,7858.035088,7858.035088,2638.836364,0,0,0,0,0,57,1460,36284,2638.836364,0,0,0
110,67,7940.149254,7940.149254,3310.702703,0,0,0,0,0,67,1460,45936,3310.702703,0,0,0
111,50,9135.18,9135.18,2556.357143,0,0,0,0,0,50,1460,35789,2556.357143,0,0,0
112,48,9311.0625,9311.0625,2543.716814,0,0,0,0,0,48,1460,35930,2543.716814,0,0,0
113,32,2814.09375,2814.09375,912.2105263,0,0,0,0,0,32,1460,12999,912.2105263,0,0,0
114,52,8594.826923,8594.826923,2492.034783,0,0,0,0,0,52,1460,35823,2492.034783,0,0,0
115,44,10160.5,10160.5,2374.413793,0,0,0,0,0,44,1460,34429,2374.413793,0,0,0
116,2,56.5,56.5,4.854700855,0,0,0,0,0,2,1460,71,4.854700855,0,0,0
117,9,8441.555556,8441.555556,33.08474576,0,0,0,0,0,9,1460,488,33.08474576,0,0,0
119,11,2550.090909,2550.090909,28.13333333,1,0,0,0,0,11,1460,422,28.13333333,0,0,0
120,11,3900,3900,37.81818182,1,0,0,0,0,11,1460,572,37.81818182,0,0,0
121,14,3739.285714,3739.285714,46.36065574,1,0,0,0,0,14,1460,707,46.36065574,0,0,0
122,14,3806.071429,3806.071429,56,0,0,0,0,0,14,1460,861,56,0,0,0
123,16,3616.8125,3616.8125,68.70967742,1,0,0,0,0,16,1460,1065,68.70967742,0,0,0
124,39,93892.10256,93892.10256,110.848,1,0,0,0,0,39,1460,1732,110.848,0,0,0
125,25,5654.92,5654.92,72.63492063,1,0,0,0,0,25,1460,1144,72.63492063,0,0,0
126,124,11934.18548,11934.18548,346.6456693,1,0,1,1,0,124,1460,5503,346.6456693,0.806451613,0,0
127,85,3830.788235,3830.788235,3187.8125,1,0,0,0,0,85,1460,51005,3187.8125,0,0,0
128,23,6002.73913,6002.73913,88.55813953,0,0,0,0,0,23,1460,1428,88.55813953,0,0,0
129,26,7272.423077,7272.423077,73.10769231,1,0,0,0,0,26,1460,1188,73.10769231,0,0,0
130,39,6424.410256,6424.410256,112.7938931,1,0,0,0,0,39,1460,1847,112.7938931,0,0,0
131,30,7486.833333,7486.833333,72.12121212,1,0,0,0,0,30,1460,1190,72.12121212,0,0,0
132,31,5987.741935,5987.741935,91.90977444,1,0,0,0,0,31,1460,1528,91.90977444,0,0,0
133,24,4442.791667,4442.791667,70.56716418,0,0,0,0,0,24,1460,1182,70.56716418,0,0,0
134,39,6078.282051,6078.282051,87.7037037,1,0,0,1,1,39,1460,1480,87.7037037,0,2.564102564,0
135,21,12518.47619,12518.47619,56.35294118,0,0,0,0,0,21,1460,958,56.35294118,0,0,0
136,20,40001.65,40001.65,567.2992701,0,0,0,0,0,20,1460,9715,567.2992701,0,0,0
137,1,3049,3049,0,0,0,0,0,0,1,1460,0,0,0,0,0
138,16,11692.5,11692.5,23.48201439,0,0,0,0,0,16,1460,408,23.48201439,0,0,0
139,5,14665.4,14665.4,66.8,0,0,0,0,0,5,1460,1169,66.8,0,0,0
140,10,6652.2,6652.2,12.70921986,1,0,0,0,0,10,1460,224,12.70921986,0,0,0
141,5,13177.2,13177.2,5.633802817,0,0,0,0,0,5,1460,100,5.633802817,0,0,0
142,9,7320.666667,7320.666667,7.048951049,1,0,0,0,0,9,1460,126,7.048951049,0,0,0
144,8,12401.5,12401.5,9.103448276,0,0,0,0,0,8,1460,165,9.103448276,0,0,0
145,15,11999,11999,38.46575342,0,0,0,0,0,15,1460,702,38.46575342,0,0,0
146,5,10330.8,10330.8,16.21768707,0,0,0,0,0,5,1460,298,16.21768707,0,0,0
147,37,23.13513514,23.13513514,81.2972973,0,0,0,0,0,37,1460,1504,81.2972973,0,0,0
148,36,6.722222222,6.722222222,59.32885906,0,0,0,0,0,36,1460,1105,59.32885906,0,0,0
152,2,0,0,2.980392157,1,0,0,0,0,2,1460,57,2.980392157,0,0,0
154,2,90,90,3.509677419,0,0,0,0,0,2,1460,68,3.509677419,0,0,0
155,2,90.5,90.5,3.435897436,0,0,0,0,0,2,1460,67,3.435897436,0,0,0
156,5,87.2,87.2,25.37579618,0,0,0,0,0,5,1460,498,25.37579618,0,0,0
158,28,26.57142857,26.57142857,68.47798742,0,0,0,0,0,28,1460,1361,68.47798742,0,0,0
159,882,3629.14966,3629.14966,13311.95,1,0,4,4,0,882,1460,266239,13311.95,0.453514739,0,0
160,186,198.2580645,198.2580645,2036.372671,1,0,1,1,0,186,1460,40982,2036.372671,0.537634409,0,0
161,10,56459.3,56459.3,46.12345679,0,0,0,0,0,10,1460,934,46.12345679,0,0,0
162,58,125.2241379,125.2241379,756.6625767,1,0,1,1,0,58,1460,15417,756.6625767,1.724137931,0,0
163,4,1111.75,1111.75,20.34146341,0,0,0,0,0,4,1460,417,20.34146341,0,0,0
164,36,14.94444444,14.94444444,66.86060606,0,0,0,0,0,36,1460,1379,66.86060606,0,0,0
165,4,2173.5,2173.5,6.120481928,0,0,0,0,0,4,1460,127,6.120481928,0,0,0
169,8,437110.875,437110.875,8.235294118,1,0,0,0,0,8,1460,175,8.235294118,0,0,0
171,10,11892.9,11892.9,9.813953488,1,0,0,0,0,10,1460,211,9.813953488,0,0,0
172,6,6472,6472,5.36416185,1,0,0,0,0,6,1460,116,5.36416185,0,0,0
173,2,1375,1375,1.103448276,1,0,0,0,0,2,1460,24,1.103448276,0,0,0
174,6,936.6666667,936.6666667,9.965714286,1,0,0,0,0,6,1460,218,9.965714286,0,0,0
175,2,0,0,2.409090909,1,0,0,0,0,2,1460,53,2.409090909,0,0,0
176,2,0,0,0.768361582,1,0,0,0,0,2,1460,17,0.768361582,0,0,0
177,4,46.25,46.25,3.775280899,1,0,0,0,0,4,1460,84,3.775280899,0,0,0
179,3,735.3333333,735.3333333,2.577777778,1,0,0,0,0,3,1460,58,2.577777778,0,0,0
180,1,2787,2787,0.53038674,1,0,0,0,0,1,1460,12,0.53038674,0,0,0
182,3,733,733,5.245901639,0,0,0,0,0,3,1460,120,5.245901639,0,0,0
183,3,88,88,11.91304348,0,0,0,0,0,3,1460,274,11.91304348,0,0,0
184,2,108,108,2.940540541,0,0,0,0,0,2,1460,68,2.940540541,0,0,0
185,99,2526.10101,2526.10101,962.5376344,1,0,1,7,6,99,1460,22379,962.5376344,1.01010101,6.060606061,0
186,189,40349.28042,40349.28042,6227.122995,0,0,0,0,0,189,1460,145559,6227.122995,0,0,0
187,337,69122.69139,69122.69139,10867.48936,1,0,0,0,0,337,1460,255386,10867.48936,0,0,0
188,1464,674559.1851,674559.1851,58165.46032,0,0,0,0,0,1464,1460,1374159,58165.46032,0,0,0
189,1075,1674130.11,1674130.11,46727.91579,0,0,0,0,0,1075,1460,1109788,46727.91579,0,0,0
190,1059,412376.7696,412376.7696,39062.57592,0,0,0,0,0,1059,1460,932619,39062.57592,0,0,0
191,309,252616.1845,252616.1845,11069.5,0,0,0,0,0,309,1460,265668,11069.5,0,0,0
